date,open_price,highest_price,lowest_price,close_price,price_change,change_percentage,volume
12/3/2024,"67,165.50","67,356.31","66,783.88","66,783.88",-300,0,"3,844,000.00"
11/3/2024,"67,260.91","68,024.15","66,783.88","67,070.09",300,0,"4,268,400.00"
8/3/2024,"68,787.39","69,550.64","66,783.88","66,783.88","-2,000.00",-0.03,"7,361,000.00"
7/3/2024,"68,405.77","68,787.39","68,024.15","68,691.99",200,0,"5,217,600.00"
6/3/2024,"69,932.26","70,123.07","68,501.18","68,501.18","-1,200.00",-0.02,"4,862,900.00"
5/3/2024,"68,691.99","69,646.04","68,405.77","69,646.04","1,000.00",0.01,"5,530,900.00"
4/3/2024,"68,501.18","69,359.83","68,310.37","68,691.99",500,0.01,"5,014,600.00"
1/3/2024,"68,787.39","68,787.39","67,928.74","68,214.96",-500,-0.01,"4,487,700.00"
29/02/2024,"69,264.42","69,932.26","68,310.37","68,691.99",-200,0,"6,568,800.00"
28/02/2024,"69,073.61","69,264.42","68,214.96","68,882.80",200,0,"3,509,000.00"
27/02/2024,"67,928.74","69,073.61","67,833.34","68,691.99","1,000.00",0.01,"5,282,500.00"
26/02/2024,"67,737.93","68,405.77","67,451.72","67,737.93",0,0,"3,138,400.00"
23/02/2024,"68,501.18","69,359.83","67,737.93","67,737.93",-600,-0.01,"6,142,500.00"
22/02/2024,"68,024.15","69,359.83","67,833.34","68,310.37",300,0,"4,698,100.00"
21/02/2024,"68,214.96","68,596.58","67,737.93","68,024.15",-200,0,"3,590,200.00"
20/02/2024,"68,405.77","69,073.61","68,024.15","68,214.96",-400,-0.01,"4,435,700.00"
19/02/2024,"67,642.53","69,264.42","67,451.72","68,596.58","1,900.00",0.03,"7,144,500.00"
16/02/2024,"64,684.96","67,070.09","64,398.74","66,783.88","2,400.00",0.04,"11,114,600.00"
15/02/2024,"64,494.14","64,875.77","64,112.52","64,494.14",0,0,"4,115,500.00"
7/2/2024,"64,494.14","64,780.36","64,112.52","64,494.14",0,0,"2,736,300.00"
6/2/2024,"64,971.17","65,066.58","64,494.14","64,494.14",-400,-0.01,"2,463,800.00"
5/2/2024,"64,303.33","65,066.58","64,112.52","64,875.77",600,0.01,"3,565,900.00"
2/2/2024,"64,398.74","64,589.55","63,921.71","64,303.33",-100,0,"2,677,300.00"
1/2/2024,"64,112.52","64,684.96","64,112.52","64,398.74",500,0.01,"2,549,300.00"
31/01/2024,"64,112.52","65,066.58","63,826.31","63,921.71",100,0,"4,441,100.00"
30/01/2024,"64,207.93","64,207.93","63,826.31","63,826.31",-100,0,"1,840,400.00"
